fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
235.1,NA,NA,NA,5,NA,13,13:42:00,MRS,3,1.7,NA,HECR,30,NA,2e3,NA,APCL,NA,9405,297
236.1,O,162,N,7.7,NA,14,14:54:00,MRS,3,4.4,NA,MADO,15,NA,2255,NA,APCL,PIT scanner not working again even though we just put new batteries in at 1:30pm,7095,298
237.1,O,163,N,8,NA,14,15:04:00,MRS,3,5,NA,MADO,15,NA,2256,NA,APCL,NA,7096,298
237.2,YR,164,NA,6.3,NA,14,15:04:00,MRS,3,5,NA,MADO,15,NA,2256,NA,APCL,NA,7096,298
237.3,W,NA,NA,3,NA,14,15:04:00,MRS,3,5,NA,MADO,15,NA,2256,NA,APCL,NA,7096,298
244.1,NA,NA,NA,9,NA,15,09:53:00,MRS,3,2.1,NA,HECR,30,NA,450,NA,APPE,NA,7104,299
246.1,NA,NA,NA,3,NA,15,10:13:00,MRS,3,2.6,NA,ENQD,35,NA,449,NA,APFR,NA,7107,299
247.1,NA,NA,NA,8,NA,15,10:18:00,MRS,3,2.5,NA,STME,25,NA,448,NA,APCL,"STME looks weird, with very fat tentacles",7108,299
247.2,YR,NA,NA,3,NA,15,10:18:00,MRS,3,2.5,NA,STME,25,NA,448,NA,APCL,"STME looks weird, with very fat tentacles",7108,299
258.1,O,NA,NA,7,NA,16,13:13:00,MRS,3,3.7,NA,HECR,25,NA,2265,NA,APCL,NA,7124,300
258.2,YP,NA,NA,7,NA,16,13:13:00,MRS,3,3.7,NA,HECR,25,NA,2265,NA,APCL,NA,7124,300
258.3,YR,181,N,4,NA,16,13:13:00,MRS,3,3.7,NA,HECR,25,NA,2265,NA,APCL,NA,7124,300
270.1,NA,NA,NA,5,NA,19,13:38:30,MLP,3,NA,7,HECR,20,NA,715,NA,APPE,NA,7151,303
273.1,NA,NA,NA,9,NA,19,13:55:00,MLP,3,NA,7,HECR,30,NA,1328,NA,APCL,got away,7155,303
274.1,NA,NA,NA,7,NA,19,14:22:00,MLP,3,NA,11,HECR,30,NA,711,NA,APPE,NA,7157,303
277.1,YR,NA,NA,2.9,NA,19,14:39:45,MLP,3,NA,9,HECR,25,NA,1311,NA,APCL,One tag,7162,303
277.2,NA,NA,NA,1,NA,19,14:39:45,MLP,3,NA,9,HECR,25,NA,1311,NA,APCL,One tag,7162,303
279.1,YR,214,N,3.6,NA,19,14:52:30,MLP,3,NA,9,HECR,20,NA,709,NA,APCL,NA,7164,303
281.1,YR,NA,NA,1,NA,19,14:58:00,MLP,3,NA,6,HECR,15,NA,2281,NA,APCL,NA,7166,303
281.2,YR,215,N,4.5,NA,19,14:58:00,MLP,3,NA,6,HECR,15,NA,2281,NA,APCL,NA,7166,303
282.1,NA,NA,NA,8,NA,19,15:10:30,MLP,3,NA,6,HECR,20,NA,1931,NA,APCL,NA,7167,303
